,270878421,359357022,15241779,2268576145,82807134
initial,0,0,0,0,0,
t_0,0.139585,0.413235,0.386539,0.229447,0.528166,
t_1,0.120959,0.348426,0.434118,0.214564,0.426792,
t_2,0.152502,0.301556,0.414514,0.196069,0.367572,
t_3,0.184435,0.271275,0.376428,0.194495,0.324917,
t_4,0.20529,0.25277,0.337183,0.201347,0.293961,
t_5,0.21588,0.241318,0.303228,0.208924,0.27162,
t_6,0.219397,0.233566,0.27602,0.213841,0.255133,
t_7,0.2186,0.227497,0.254846,0.215474,0.242378,
t_8,0.215338,0.222043,0.238344,0.214358,0.231921,
t_9,0.210735,0.216707,0.225192,0.211295,0.222877,
